vcore,badbits
1800, 0
1790, 0
1780, 0
1770, 0
1760, 0
1750, 0
1740, 0
1730, 0
1720, 0
1710, 0
1700, 0
1690, 0
1680, 0
1670, 0
1660, 0
1650, 0
1640, 0
1630, 0
1620, 0
1610, 0
1600, 0
1590, 1
1580, 1
1570, 1
1560, 1
1550, 2
1540, 2
1530, 3
1520, 3
1510, 3
1500, 6
1490, 7
1480, 11
1470, 17
1460, 24
1450, 29
1440, 35
1430, 43
1420, 61
1410, 82
1400, 109
1390, 131
1380, 159
1370, 193
1360, 244
1350, 303
1340, 364
1330, 432
1320, 523
1310, 605
1300, 712
1290, 822
1280, 976
1270, 1096
1260, 1217
1250, 1321
1240, 1403
1230, 1485
1220, 1569
1210, 1660
1200, 1728
1190, 1717
1180, 1528
1170, 1515
1160, 1430
1150, 1230
1140, 1129
1130, 1036
1120, 1028
1110, 1028
1100, 1028
1090, 1028
1080, 1028
1070, 1028
1060, 1028
1050, 1028
1040, 1028
1030, 1028
1020, 1028
1010, 1028
