vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 0
 400, 0
 390, 0
 380, 0
 370, 2
 360, 4
 350, 11
 340, 61
 330, 90
 320, 113
 310, 158
 300, 126
 290, 208
 280, 271
 270, 349
 260, 428
 250, 526
 240, 692
 230, 800
 220, 902
 210, 990
 200, 1032
 190, 1042
 180, 1037
 170, 1057
 160, 1051
 150, 1047
 140, 1047
 130, 1042
 120, 1044
 110, 1026
 100, 1021
  90, 1016
  80, 1021
  70, 1010
  60, 1011
  50, 1003
  40, 1004
  30, 998
  20, 998
  10, 1001
