vretention,chilled,ambient,hot
500,0,0,0
490,0,0,0
480,0,0,0
470,0,0,0
460,0,0,0
450,0,0,0
440,0,0,0
430,3,0,0
420,4,3,0
410,6,5,0
400,11,6,2
390,16,10,4
380,30,16,6
370,52,35,9
360,121,131,15
350,171,181,27
340,231,232,51
330,229,188,83
320,293,244,138
310,400,325,188
300,476,419,261
290,575,512,365
280,654,616,520
270,745,716,741
260,829,820,905
250,922,922,971
240,971,960,998
230,979,993,1000
220,1005,1000,1000
210,1026,1031,1012
200,1035,1044,1027
190,1035,1026,1026
180,1039,1032,1036
170,1053,1049,1036
160,1033,1037,1016
150,1021,1022,1030
140,1016,1021,1024
130,1028,1031,1032
120,1040,1041,1031
110,1041,1046,1041
100,1041,1052,1039
90,1044,1045,1047
80,1045,1044,1043
70,1034,1040,1051
60,1028,1026,1040
50,1030,1031,1049
40,1030,1031,1049
30,1021,1026,1046
20,1021,1025,1051
10,1034,1031,1038
